,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
2022,2022-06-23,23,0.7768722222222593,60.046116666666705,226.07584722222228,0.030000000000000925,0.5259527777777576,2022-06-23 23:00:00
2023,2022-06-24,0,0.7788083333333634,59.95607777777776,225.8878138888886,0.030000000000000925,0.5270833333333125,2022-06-24 00:00:00
2024,2022-06-24,1,0.7799222222222584,59.95077222222227,226.57535000000004,0.028800000000000922,0.530711111111088,2022-06-24 01:00:00
2025,2022-06-24,2,0.779338888888926,60.007405555555614,226.45611666666707,0.02999722222222315,0.5289472222221996,2022-06-24 02:00:00
2026,2022-06-24,3,0.773672222222224,60.03097777777781,224.9811,0.02969722222222312,0.5217194444444285,2022-06-24 03:00:00
2027,2022-06-24,4,0.7753500000000102,60.06094722222228,224.84956666666642,0.02993333333333424,0.5223472222222052,2022-06-24 04:00:00
2028,2022-06-24,5,0.7779361111111279,60.03331666666662,225.21734999999953,0.03213333333333396,0.5229694444444263,2022-06-24 05:00:00
2029,2022-06-24,6,2.315777777777784,60.01718888888888,224.08446388888845,1.5213055555555541,0.2824388888888758,2022-06-24 06:00:00
2030,2022-06-24,7,4.784555555555557,59.99863888888889,224.27633888888954,3.187875000000014,0.4385638888888846,2022-06-24 07:00:00
2031,2022-06-24,8,6.682649999999994,60.028538888888896,224.12790555555623,4.440727777777784,0.6507916666666762,2022-06-24 08:00:00
2032,2022-06-24,9,9.44929722222224,60.0406305555555,223.7187138888889,6.269750000000003,0.9705444444444462,2022-06-24 09:00:00
2033,2022-06-24,10,8.201336111111088,59.99279722222211,223.2241194444439,5.409127777777779,0.9335916666666677,2022-06-24 10:00:00
2034,2022-06-24,11,8.60029166666664,59.96590833333343,222.8076583333325,5.681411111111132,0.8442583333333304,2022-06-24 11:00:00
2035,2022-06-24,12,7.6557999999999815,59.969652777777824,223.91600833333416,5.092674999999992,0.7120500000000016,2022-06-24 12:00:00
2036,2022-06-24,13,8.321025000000004,60.03181944444455,225.53941944444406,5.57071944444445,0.8058638888888946,2022-06-24 13:00:00
2037,2022-06-24,14,1.5941000000000025,59.93848333333326,225.59473611111102,1.0465305555555577,0.23101111111111985,2022-06-24 14:00:00
2038,2022-06-24,15,0.6812503473187134,60.002295081967254,225.87786329536044,0.11609613781604614,0.41704640177826013,2022-06-24 15:00:00
2039,2022-06-24,16,0.764358333333328,60.05131666666661,222.30078333333284,0.02063611111111191,0.5087888888888815,2022-06-24 16:00:00
2040,2022-06-24,17,0.7787187326292755,60.083685380767086,226.2341856586996,0.029833240689272726,0.527679266259011,2022-06-24 17:00:00
2041,2022-06-24,18,0.7768630175048556,60.055301472631314,225.87112253403703,0.029997221450403812,0.5257988330091499,2022-06-24 18:00:00
2042,2022-06-24,19,0.7759805555555809,60.031269444444284,225.59971388888877,0.030000000000000925,0.5241972222222033,2022-06-24 19:00:00
2043,2022-06-24,20,0.7706111111111031,59.98476111111115,224.23513611111082,0.029055555555556518,0.5180583333333205,2022-06-24 20:00:00
2044,2022-06-24,21,0.7747151986663097,59.96961656015554,225.3590414003885,0.029997221450403816,0.5215504306751712,2022-06-24 21:00:00
2045,2022-06-24,22,0.7735888888888967,59.90035277777777,225.43817222222185,0.030000000000000925,0.5218166666666503,2022-06-24 22:00:00
2046,2022-06-24,23,0.7776410113920901,59.988496804667996,225.58787718810746,0.030000000000000925,0.525771047513178,2022-06-24 23:00:00
2047,2022-06-25,0,0.7799777777778107,60.00891666666673,226.11301388888896,0.029986111111112036,0.5290888888888662,2022-06-25 00:00:00
2048,2022-06-25,1,0.7798221728258206,59.943142539594355,226.64379272020005,0.030000000000000925,0.5293609335926418,2022-06-25 01:00:00
2049,2022-06-25,2,0.772574367528486,59.943575201556826,224.7718432026686,0.029346677787045646,0.5216152349179718,2022-06-25 02:00:00
2050,2022-06-25,3,0.773286111111114,60.05132777777773,224.81138611111103,0.02990555555555646,0.5206972222222066,2022-06-25 03:00:00
2051,2022-06-25,4,0.775539188438035,60.059866592551465,224.90068649249545,0.0299277376320187,0.5217871039466203,2022-06-25 04:00:00
2052,2022-06-25,5,0.7806888888889163,60.03170833333327,225.34092222222142,0.029872222222223035,0.5263305555555366,2022-06-25 05:00:00
2053,2022-06-25,6,1.1853598221728217,60.02570991942215,224.5636676854685,0.5643817727146424,0.36963878855237214,2022-06-25 06:00:00
2054,2022-06-25,7,3.3146803779877616,60.008513062812675,224.15603946637015,2.207045580878267,0.3131795441912195,2022-06-25 07:00:00
2055,2022-06-25,8,5.858413448180028,59.99874409558211,223.75711030841887,3.888446790775202,0.5734426229508169,2022-06-25 08:00:00
2056,2022-06-25,9,7.685563888888875,60.030180555555425,222.82188888888888,5.083838888888887,0.7199138888888794,2022-06-25 09:00:00
2057,2022-06-25,10,10.005123645457036,60.02167824395662,223.63151153098036,6.650297304806908,0.9173103639900017,2022-06-25 10:00:00
2058,2022-06-25,11,8.328593663146188,59.99650917176214,226.52979710950507,5.599471928849355,0.7594357976653635,2022-06-25 11:00:00
2059,2022-06-25,12,4.765919955530666,59.95809616453602,225.67807392996104,3.085050027793304,0.5403807670928304,2022-06-25 12:00:00
2060,2022-06-25,13,0.8027133722546645,60.01451765360024,226.20780650542122,0.115226577703643,0.48390047261604874,2022-06-25 13:00:00
2061,2022-06-25,14,1.8281972222222107,60.026477777777906,226.38464722222193,1.2055861111111088,0.27046111111110743,2022-06-25 14:00:00
2062,2022-06-25,15,1.6978750000000036,60.01169722222221,226.70089444444457,1.102591666666679,0.27042499999999337,2022-06-25 15:00:00
2063,2022-06-25,16,1.1175388888888984,59.99482222222239,225.39204444444522,0.6906388888888886,0.2484000000000022,2022-06-25 16:00:00
2064,2022-06-25,17,0.7578565471226336,59.998281901584704,226.93583819849823,0.07613844870725377,0.4876591604114344,2022-06-25 17:00:00
2065,2022-06-25,18,0.7802416666666997,60.007211111111104,227.11091944444453,0.02955277777777867,0.5304749999999763,2022-06-25 18:00:00
2066,2022-06-25,19,0.7717115865518208,59.98868852459024,224.57499305362668,0.026443456515699456,0.5204445679355219,2022-06-25 19:00:00
2067,2022-06-25,20,0.7801472631286823,59.948744095582036,226.83546818560748,0.029991664351209594,0.5301861628229838,2022-06-25 20:00:00
2068,2022-06-25,21,0.7814230127849009,59.971075597554055,227.2109672040027,0.029997220678155457,0.5323652028904693,2022-06-25 21:00:00
2069,2022-06-25,22,0.7770658516254626,59.94177827174218,226.11279522089475,0.029772158933037834,0.5268352320088726,2022-06-25 22:00:00
2070,2022-06-25,23,0.776489716509194,60.029385769872135,225.52208727070638,0.0298638132295729,0.523824346859348,2022-06-25 23:00:00
2071,2022-06-26,0,0.7711253125868168,60.033409280355606,224.02606557377004,0.028794109474854994,0.5187413170324956,2022-06-26 00:00:00
2072,2022-06-26,1,0.771828793774315,60.04766536964981,224.53816008893835,0.02935519733185176,0.5202584769316133,2022-06-26 01:00:00
2073,2022-06-26,2,0.7725972222222364,59.994799999999806,224.9215833333327,0.02975000000000091,0.5212083333333172,2022-06-26 02:00:00
2074,2022-06-26,3,0.7735666666666533,60.04742500000012,224.8624694444439,0.029955555555556464,0.5211694444444285,2022-06-26 03:00:00
2075,2022-06-26,4,0.7721611111111069,60.03821388888882,224.7745111111116,0.029886111111112022,0.5204416666666511,2022-06-26 04:00:00
2076,2022-06-26,5,0.8013444444444386,60.02212777777773,224.70120833333317,0.08081388888888952,0.5039388888888707,2022-06-26 05:00:00
